   24.9820004     ,  -9.80000012E-04 ,   2.49819993E-03 ,   1.99999988     ,   9.99999975E-05
   24.9640141     ,  -1.95929431E-03 ,   4.99460148E-03 ,   1.99999964     ,   1.99999995E-04
   24.9460392     ,  -2.93788360E-03 ,   7.48920534E-03 ,   1.99999940     ,   2.99999985E-04
   24.9280777     ,  -3.91576812E-03 ,   9.98201314E-03 ,   1.99999905     ,   3.99999990E-04
   24.9101295     ,  -4.89294855E-03 ,   1.24730263E-02 ,   1.99999857     ,   4.99999966E-04
   24.8921947     ,  -5.86942583E-03 ,   1.49622457E-02 ,   1.99999797     ,   5.99999970E-04
   24.8742733     ,  -6.84519997E-03 ,   1.74496733E-02 ,   1.99999726     ,   6.99999975E-04
   24.8563633     ,  -7.82027096E-03 ,   1.99353099E-02 ,   1.99999642     ,   7.99999980E-04
   24.8384666     ,  -8.79464019E-03 ,   2.24191565E-02 ,   1.99999559     ,   8.99999985E-04
   24.8205833     ,  -9.76830814E-03 ,   2.49012150E-02 ,   1.99999464     ,   9.99999931E-04
   24.8027134     ,  -1.07412748E-02 ,   2.73814872E-02 ,   1.99999356     ,   1.09999988E-03
   24.7848549     ,  -1.17135411E-02 ,   2.98599731E-02 ,   1.99999237     ,   1.19999982E-03
   24.7670097     ,  -1.26851071E-02 ,   3.23366746E-02 ,   1.99999106     ,   1.29999977E-03
   24.7491779     ,  -1.36559736E-02 ,   3.48115936E-02 ,   1.99998975     ,   1.39999972E-03
   24.7313576     ,  -1.46261416E-02 ,   3.72847281E-02 ,   1.99998832     ,   1.49999966E-03
   24.7135506     ,  -1.55956112E-02 ,   3.97560820E-02 ,   1.99998677     ,   1.59999961E-03
   24.6957569     ,  -1.65643822E-02 ,   4.22256589E-02 ,   1.99998510     ,   1.69999956E-03
   24.6779766     ,  -1.75324567E-02 ,   4.46934551E-02 ,   1.99998331     ,   1.79999950E-03
   24.6602077     ,  -1.84998326E-02 ,   4.71594743E-02 ,   1.99998140     ,   1.89999945E-03
   24.6424522     ,  -1.94665119E-02 ,   4.96237203E-02 ,   1.99997950     ,   1.99999940E-03
   24.6247101     ,  -2.04324964E-02 ,   5.20861931E-02 ,   1.99997747     ,   2.09999946E-03
   24.6069794     ,  -2.13977844E-02 ,   5.45468926E-02 ,   1.99997532     ,   2.19999952E-03
   24.5892620     ,  -2.23623775E-02 ,   5.70058189E-02 ,   1.99997306     ,   2.29999959E-03
   24.5715580     ,  -2.33262759E-02 ,   5.94629757E-02 ,   1.99997067     ,   2.39999965E-03
   24.5538673     ,  -2.42894813E-02 ,   6.19183630E-02 ,   1.99996829     ,   2.49999971E-03
   24.5361881     ,  -2.52519920E-02 ,   6.43719807E-02 ,   1.99996579     ,   2.59999977E-03
